consultation_id,client_id,inquiry_id,lawyer_id,scheduled_at,held_at,consultation_fee,consultation_invoice_id,paid_status,case_accepted
1,153,219,1,2025-10-28,,141.84,1,cancelled,
2,333,157,2,2029-12-29,,150.46,2,processing,
3,236,377,3,2023-05-24,2023-07-24,141.97,3,unpaid,FALSE
4,885,328,4,2024-07-01,,134.02,4,pending,
5,293,769,5,2030-07-03,,180.11,5,refunded,
6,983,359,6,2021-04-29,2025-05-19,127.47,6,refunded,FALSE
7,900,728,7,2024-11-17,2026-05-14,168.27,7,cancelled,TRUE
8,87,793,8,2028-01-30,,102.34,8,completed,
9,976,874,9,2021-07-01,2024-01-21,139.14,9,on_hold,TRUE
10,689,351,10,2022-04-27,,168.78,10,completed,
11,129,627,11,2020-10-12,,174.8,11,cancelled,
12,957,681,12,2030-01-26,,108.79,12,pending,
13,816,844,13,2024-09-27,,164.67,13,completed,
14,626,838,14,2021-09-16,2025-10-08,111.35,14,completed,FALSE
15,19,724,15,2021-05-21,2026-08-14,110.49,15,pending,FALSE
16,40,450,16,2029-09-27,,163.75,16,completed,
17,453,822,17,2029-01-06,,163.47,17,unpaid,
18,134,981,18,2026-11-28,,121.91,18,processing,
19,468,85,19,2021-02-03,2021-09-04,182.71,19,failed,TRUE
20,989,651,20,2022-07-12,,160.43,20,failed,
21,221,918,21,2023-05-24,2024-08-02,135.67,21,completed,FALSE
22,21,777,22,2027-07-10,,159.7,22,completed,
23,153,219,23,2025-01-22,,172.45,23,processing,
24,967,36,24,2030-08-09,,136.69,24,completed,
25,824,278,25,2024-01-18,,139.68,25,refunded,
26,59,619,26,2029-11-01,,151.86,26,unpaid,
27,825,246,27,2021-03-27,,128.59,27,completed,
28,971,462,28,2021-07-31,,100.25,28,refunded,
29,811,297,29,2026-05-26,2026-05-26,107.09,29,cancelled,FALSE
30,454,423,30,2023-09-24,2026-02-23,126.95,30,processing,TRUE
31,895,983,31,2025-02-27,,119.02,31,completed,
32,587,23,32,2024-04-27,,150.52,32,pending,
33,144,939,33,2023-11-06,2024-01-04,158.23,33,pending,FALSE
34,370,556,34,2025-02-17,2025-02-17,142.2,34,completed,TRUE
35,573,438,35,2022-02-28,,148.08,35,completed,
36,658,264,36,2022-08-11,,183.15,36,completed,
37,454,391,37,2026-05-31,,111.75,37,completed,
38,511,621,38,2028-06-21,,128.05,38,unpaid,
39,616,955,39,2025-01-11,2025-01-11,159.35,39,processing,FALSE
40,406,161,40,2022-05-10,,140.65,40,on_hold,
41,152,561,41,2029-05-03,,133.1,41,processing,
42,243,770,42,2023-05-18,,131.94,42,completed,
43,28,65,43,2020-08-15,2024-07-21,114.92,43,completed,TRUE
44,818,86,44,2027-08-08,,170.96,44,unpaid,
45,707,735,45,2027-06-16,,121.13,45,completed,
46,601,979,46,2021-02-01,2023-06-04,149.57,46,failed,FALSE
47,154,923,47,2027-04-08,,108.5,47,refunded,
48,998,591,48,2023-02-07,2023-02-07,107.26,48,failed,FALSE
49,433,26,49,2025-11-04,,133.92,49,refunded,
50,877,83,50,2023-09-27,2023-09-27,129.06,50,processing,FALSE
51,841,218,51,2022-05-17,,155.4,51,cancelled,
52,462,959,52,2029-10-23,,170.56,52,completed,
53,966,612,53,2021-06-22,2026-04-07,179.78,53,completed,FALSE
54,148,943,54,2026-08-02,2026-08-02,117.95,54,completed,TRUE
55,6,445,55,2028-07-27,,175.28,55,pending,
56,947,186,56,2024-06-11,,132.14,56,completed,
57,735,105,57,2028-03-16,,157.15,57,cancelled,
58,145,510,58,2030-11-18,,128.27,58,unpaid,
59,356,927,59,2024-01-10,2024-01-10,115.33,59,refunded,TRUE
60,536,678,60,2021-08-19,2024-04-12,140.53,60,completed,TRUE
61,211,557,61,2025-12-26,2025-12-26,119.17,61,completed,FALSE
62,909,57,62,2027-11-20,,181.54,62,on_hold,
63,369,499,63,2023-03-11,2023-03-11,138.1,63,cancelled,TRUE
64,816,844,64,2024-05-27,2024-05-27,157.33,64,unpaid,FALSE
65,660,201,65,2021-11-19,2021-11-19,120.63,65,refunded,FALSE
66,210,639,66,2028-06-03,,151.06,66,on_hold,
67,693,6,67,2021-07-25,2021-07-25,140.57,67,on_hold,FALSE
68,76,578,68,2025-10-02,2025-10-02,128.05,68,completed,FALSE
69,429,224,69,2023-04-25,2025-07-09,102.27,69,completed,FALSE
70,369,499,70,2027-04-27,,132.18,70,completed,
71,19,813,71,2030-09-17,,135.17,71,completed,
72,776,790,72,2029-12-12,,158.59,72,completed,
73,649,358,73,2021-05-16,2025-10-29,183.05,73,refunded,FALSE
74,164,311,74,2022-07-22,2022-07-22,176.77,74,failed,TRUE
75,333,157,75,2030-08-30,,182.03,75,processing,
76,401,781,76,2022-01-25,2023-12-31,153.27,76,cancelled,TRUE
77,941,106,77,2028-01-10,,168.79,77,on_hold,
78,975,435,78,2027-06-29,,146.14,78,processing,
79,466,605,79,2026-10-20,,134.64,79,cancelled,
80,226,812,80,2021-03-25,2021-04-10,153.37,80,completed,FALSE
81,19,291,81,2028-07-28,,148.24,81,pending,
82,417,509,82,2020-12-28,2021-02-09,126.25,82,unpaid,TRUE
83,610,645,83,2026-11-13,,130.07,83,pending,
84,898,15,84,2026-08-09,2026-08-09,172.41,84,failed,TRUE
85,772,750,85,2025-05-23,,126.44,85,unpaid,
86,963,491,86,2023-06-06,2023-06-06,118.61,86,on_hold,TRUE
87,300,117,87,2029-07-15,,136.03,87,completed,
88,427,559,88,2027-09-16,,103.37,88,completed,
89,758,797,89,2022-02-21,2025-10-27,168.62,89,completed,TRUE
90,48,620,90,2027-05-31,,180.79,90,completed,
91,993,420,91,2022-01-21,,161.04,91,processing,
92,456,322,92,2021-09-03,,118.54,92,completed,
93,41,567,93,2029-01-12,,123.36,93,processing,
94,519,702,94,2022-01-06,2022-01-06,174.39,94,pending,TRUE
95,951,699,95,2020-05-19,2026-07-25,130.11,95,unpaid,TRUE
96,401,781,96,2030-04-06,,167.99,96,completed,
97,275,574,97,2022-09-20,2022-09-20,168.55,97,unpaid,FALSE
98,242,191,98,2020-05-28,2023-07-04,114.63,98,processing,FALSE
99,182,890,99,2025-12-20,,143.35,99,on_hold,
100,603,652,100,2025-08-14,,165.9,100,completed,
101,693,6,101,2028-11-13,,145.46,101,processing,
102,413,835,102,2029-02-06,,142.48,102,unpaid,
103,511,624,103,2023-01-19,2023-01-19,162.48,103,refunded,FALSE
104,757,994,104,2023-03-18,2023-03-18,107.08,104,cancelled,TRUE
105,40,450,105,2020-02-04,2020-02-20,143.66,105,on_hold,FALSE
106,935,533,106,2022-11-19,,173.17,106,refunded,
107,724,668,107,2022-05-12,2022-05-12,115.23,107,unpaid,TRUE
108,185,443,108,2020-06-24,,119.67,108,unpaid,
109,951,699,109,2024-03-08,2024-03-08,127.39,109,completed,FALSE
110,467,760,110,2028-10-31,,125.4,110,processing,
111,641,167,111,2028-05-31,,170.77,111,refunded,
112,761,489,112,2021-12-10,2021-12-10,180.56,112,on_hold,FALSE
113,666,109,113,2023-07-27,2025-07-10,139.08,113,unpaid,FALSE
114,210,639,114,2029-09-11,,145.28,114,failed,
115,902,656,115,2027-11-28,,150.98,115,on_hold,
116,53,7,116,2025-03-14,,182.3,116,completed,
117,142,565,117,2027-03-13,,134.87,117,completed,
118,236,377,118,2030-07-08,,179.12,118,completed,
119,208,529,119,2028-11-08,,112.35,119,refunded,
120,668,477,120,2028-07-08,,172.52,120,processing,
121,663,315,121,2022-12-12,2022-12-12,114.37,121,pending,TRUE
122,622,471,122,2024-03-17,,119.49,122,pending,
123,704,924,123,2020-05-22,2023-01-06,103.74,123,processing,FALSE
124,27,821,124,2024-04-10,,158.8,124,refunded,
125,429,517,125,2027-10-23,,178.74,125,cancelled,
126,666,109,126,2030-10-24,,169.59,126,processing,
127,210,639,127,2029-02-02,,166.77,127,refunded,
128,779,56,128,2024-03-09,,125.54,128,completed,
129,201,836,129,2028-05-29,,138.91,129,cancelled,
130,41,567,130,2026-02-16,2026-02-27,181.72,130,unpaid,TRUE
131,588,585,131,2029-01-09,,149.23,131,completed,
132,61,92,132,2029-03-21,,106.98,132,completed,
133,543,350,133,2023-09-06,2024-01-09,174.75,133,processing,TRUE
134,334,229,134,2030-11-01,,169.7,134,completed,
135,402,718,135,2020-01-27,,107.27,135,failed,
136,754,408,136,2020-05-08,,179.65,136,unpaid,
137,431,266,137,2029-12-28,,182.74,137,refunded,
138,119,720,138,2025-06-07,2025-06-07,140.93,138,on_hold,TRUE
139,159,966,139,2029-11-03,,180.72,139,completed,
140,801,452,140,2027-12-20,,159.74,140,completed,
141,169,756,141,2030-12-12,,143.63,141,cancelled,
142,454,423,142,2029-04-18,,183.18,142,on_hold,
143,476,869,143,2023-12-18,2023-12-18,168.83,143,pending,FALSE
144,13,399,144,2029-09-07,,111.15,144,completed,
145,964,27,145,2027-11-26,,153.47,145,pending,
146,431,266,146,2022-07-08,,109.83,146,failed,
147,726,2,147,2025-09-06,2025-09-06,170.56,147,completed,TRUE
