document_id,matter_id,document_type,received_at,received_via,is_required,is_missing
273-54-2067,798,contract,,,true,true
116-81-6576,307,correspondence,2024-06-27,email,true,false
895-81-3837,502,power_of_attorney,2021-12-28,whatsapp,true,false
376-85-0704,150,court_filing,,,true,true
151-24-3719,111,evidence,,,true,true
652-59-7797,579,invoice,,,false,false
560-41-8011,977,court_filing,2023-01-03,phone,true,false
515-45-4094,895,correspondence,2026-05-01,email,false,false
202-01-5652,618,invoice,2020-03-27,whatsapp,true,false
744-34-1428,950,correspondence,2024-12-07,whatsapp,false,false
398-53-0196,136,invoice,2026-04-09,whatsapp,true,false
410-86-0703,811,passport_copy,2025-09-04,phone,true,false
272-58-3140,452,invoice,2024-03-05,email,false,false
247-52-1911,977,passport_copy,2024-06-26,phone,true,false
461-19-1359,378,evidence,2026-06-10,whatsapp,true,false
248-49-1032,321,evidence,2025-07-25,email,false,false
846-43-4980,201,correspondence,2026-03-10,whatsapp,true,false
416-22-7418,550,correspondence,2025-03-28,email,false,false
648-45-7025,731,evidence,2020-06-13,phone,true,false
731-32-5181,425,power_of_attorney,,,false,false
144-81-7722,681,passport_copy,2020-06-27,phone,true,false
787-83-0579,272,evidence,2023-01-21,phone,true,false
465-32-4446,108,invoice,,,false,false
871-13-3423,217,power_of_attorney,2022-06-23,phone,false,false
776-75-8988,427,correspondence,,,false,false
866-12-1580,184,passport_copy,2025-05-04,whatsapp,true,false
437-97-8182,915,invoice,2026-05-08,whatsapp,false,false
312-18-9206,453,correspondence,2024-06-08,whatsapp,false,false
605-34-0901,897,evidence,2020-02-18,phone,true,false
377-69-9311,507,passport_copy,2026-04-18,email,true,false
876-56-9339,396,invoice,2023-08-22,phone,true,false
890-18-5113,694,court_filing,,,false,false
725-92-7374,987,evidence,,,true,true
747-44-4496,501,invoice,2024-10-08,whatsapp,true,false
571-79-2579,480,passport_copy,2022-01-21,whatsapp,false,false
476-36-7469,302,correspondence,2025-05-22,phone,false,false
608-05-4808,378,contract,2026-07-04,whatsapp,false,false
427-54-1776,388,contract,2023-01-22,email,false,false
146-57-5825,112,court_filing,2021-11-12,phone,true,false
860-28-2576,489,passport_copy,2023-08-03,whatsapp,false,false
751-24-8821,702,power_of_attorney,,,true,true
620-58-9653,985,court_filing,2023-03-31,whatsapp,false,false
819-64-0277,147,contract,,,true,true
465-32-4446,634,invoice,2021-06-23,email,true,false
799-02-2405,681,power_of_attorney,,,false,false
304-53-5467,761,invoice,2024-01-08,whatsapp,false,false
247-18-2218,862,court_filing,,,false,false
498-13-9477,453,passport_copy,2020-03-26,whatsapp,true,false
806-68-4278,764,power_of_attorney,2026-01-27,whatsapp,false,false
699-96-1393,305,passport_copy,2022-03-24,email,true,false
602-30-0472,384,evidence,2024-07-07,phone,false,false
314-45-3113,800,passport_copy,,,false,false
223-59-3039,685,contract,2021-07-30,phone,false,false
358-82-8989,575,court_filing,,,false,false
714-96-1996,472,court_filing,2023-01-26,email,true,false
263-90-0559,636,invoice,2020-03-30,whatsapp,false,false
122-24-8710,834,correspondence,,,false,false
264-96-9525,270,passport_copy,,,false,false
612-35-0746,447,court_filing,2023-03-05,email,false,false
289-38-7887,157,contract,2022-06-05,email,true,false
248-49-1032,978,evidence,2026-03-13,phone,false,false
880-90-6390,142,correspondence,2024-08-21,phone,true,false
524-47-9184,880,invoice,2023-09-21,whatsapp,false,false
109-84-0934,688,correspondence,,,true,true
589-05-3493,74,court_filing,2024-06-27,phone,true,false
134-79-4600,396,invoice,2026-03-25,phone,true,false
691-25-6938,242,contract,,,false,false
622-42-2088,793,invoice,,,true,true
128-94-7136,797,evidence,,,false,false
347-14-6144,232,invoice,,,false,false
502-21-2549,354,evidence,2020-10-26,email,true,false
209-41-1705,399,evidence,2026-06-11,phone,false,false
570-14-9890,67,correspondence,2023-07-04,whatsapp,false,false
659-65-4864,183,court_filing,,,true,true
402-07-9400,483,correspondence,2023-10-05,phone,true,false
686-52-6025,604,correspondence,2020-05-10,whatsapp,true,false
208-62-9097,520,invoice,2020-01-29,email,true,false
884-25-7279,406,power_of_attorney,,,true,true
132-77-5150,592,court_filing,2026-09-11,whatsapp,true,false
289-38-7887,300,passport_copy,2025-02-23,whatsapp,true,false
833-47-4203,928,invoice,2022-12-06,email,true,false
758-51-4085,863,contract,2021-07-17,whatsapp,false,false
719-50-1812,788,invoice,,,true,true
671-40-5871,114,court_filing,2026-04-27,email,false,false
171-37-3076,632,passport_copy,,,true,true
267-69-2971,50,invoice,2022-08-11,phone,true,false
693-61-1439,924,evidence,2021-11-14,phone,false,false
448-55-0465,408,contract,2021-07-31,whatsapp,true,false
716-97-9540,206,invoice,2025-04-01,email,false,false
166-27-9511,797,power_of_attorney,2024-05-10,whatsapp,false,false
340-50-6596,213,invoice,2024-01-11,email,false,false
464-03-6000,312,contract,2025-01-24,phone,true,false
641-07-9177,849,court_filing,,,false,false
809-10-7442,952,correspondence,2025-12-28,whatsapp,false,false
140-05-5918,482,court_filing,,,true,true
486-73-0128,611,correspondence,2021-11-16,whatsapp,false,false
768-32-4356,626,contract,2025-04-15,whatsapp,false,false
222-37-5308,848,correspondence,,,true,true
819-30-9179,389,correspondence,,,true,true
468-93-1807,73,correspondence,2023-05-28,whatsapp,true,false
829-34-4443,880,contract,2021-05-10,whatsapp,true,false
395-13-7055,355,invoice,,,false,false
109-28-9934,885,correspondence,2020-04-21,phone,true,false
441-52-8841,334,contract,,,false,false
781-01-1656,835,contract,2025-05-10,email,true,false
133-51-2132,842,court_filing,2022-07-28,whatsapp,true,false
344-15-2717,385,invoice,2026-03-22,email,true,false
533-48-9413,674,passport_copy,2023-06-07,email,true,false
759-64-9769,826,passport_copy,2022-09-29,phone,true,false
525-16-7771,441,invoice,,,true,true
576-58-8541,966,evidence,,,false,false
606-07-7444,555,power_of_attorney,2021-01-02,whatsapp,true,false
114-54-7562,444,evidence,,,false,false
866-08-2679,847,passport_copy,2025-01-12,email,false,false
577-79-8555,303,correspondence,,,false,false
410-86-0703,592,power_of_attorney,2020-11-25,whatsapp,false,false
180-61-2777,592,power_of_attorney,2023-05-09,whatsapp,false,false
586-16-0581,656,court_filing,2021-09-15,email,false,false
659-65-4864,947,invoice,2025-09-05,whatsapp,true,false
119-99-1828,839,contract,2021-05-29,email,true,false
704-80-5747,47,passport_copy,2024-06-18,email,false,false
814-01-7783,874,court_filing,,,false,false
318-37-2947,231,passport_copy,2026-07-09,phone,true,false
600-71-5384,589,invoice,2023-12-15,email,false,false
829-18-7355,417,correspondence,2024-08-03,whatsapp,false,false
139-26-3961,161,evidence,,,true,true
854-38-6343,897,invoice,,,true,true
210-57-8590,311,correspondence,2026-03-09,email,true,false
798-14-9647,541,power_of_attorney,2023-08-29,phone,false,false
855-68-5642,441,invoice,2024-12-26,whatsapp,false,false
393-52-1229,250,court_filing,2021-06-18,phone,false,false
597-66-9529,429,power_of_attorney,2020-01-19,whatsapp,false,false
473-36-9995,87,invoice,,,true,true
588-38-3797,612,contract,2025-06-17,email,true,false
427-54-1776,120,invoice,,,true,true
312-60-5062,371,contract,2023-03-31,whatsapp,false,false
287-29-2399,355,contract,2025-08-20,email,true,false
162-11-5562,24,contract,2021-11-18,email,true,false
427-43-6978,971,evidence,2021-08-30,phone,true,false
180-61-2777,946,passport_copy,,,true,true
468-51-8968,743,evidence,,,false,false
713-51-6911,263,court_filing,2024-05-05,phone,true,false
200-52-0148,865,passport_copy,2021-06-10,phone,true,false
569-22-4227,846,court_filing,,,true,true
863-72-0215,510,correspondence,,,false,false
811-57-9547,738,passport_copy,2021-06-19,email,false,false
116-76-6708,302,power_of_attorney,,,false,false
738-70-9740,907,evidence,,,true,true
107-10-4542,509,passport_copy,,,false,false
263-90-0559,607,correspondence,2024-06-27,email,false,false
339-75-5093,516,court_filing,,,true,true
235-60-6064,248,power_of_attorney,2020-05-15,whatsapp,false,false
543-96-0259,650,evidence,,,false,false
267-54-5094,546,correspondence,2022-10-27,whatsapp,true,false
620-58-9653,985,power_of_attorney,2024-01-10,whatsapp,false,false
823-25-7622,729,passport_copy,2023-11-22,phone,true,false
360-56-4621,585,correspondence,2022-03-24,phone,true,false
