inquiry_id,client_id,origin_channel,menu_option,received_at,is_working_hours,assistant_id,first_response_at,response_delay_minutes,outcome
1,443,phone,completed,2025-01-05,FALSE,1,2025-01-05,0,cancelled
2,726,email,approved,2026-05-17,FALSE,2,2026-05-17,0,pending
3,570,whatsapp,cancelled,2026-08-19,TRUE,3,2026-08-19,0,delayed
4,254,whatsapp,completed,2024-04-28,FALSE,4,2026-09-12,1248480,pending
5,576,phone,on_hold,2024-11-27,TRUE,5,2024-11-27,0,on_hold
6,693,whatsapp,pending,2025-05-15,TRUE,6,2026-01-11,347040,rejected
7,53,email,pending,2024-05-17,FALSE,7,2025-03-26,450720,rejected
8,475,phone,pending,2025-08-05,TRUE,8,2025-08-05,0,pending
9,674,email,under_review,2025-08-20,FALSE,9,2025-08-20,0,rejected
10,94,email,under_review,2025-06-01,TRUE,10,2026-01-29,348480,in_progress
11,644,whatsapp,cancelled,2026-01-25,FALSE,11,2026-01-25,0,on_hold
12,291,email,schedule,2024-09-03,FALSE,12,2026-03-22,813600,approved
13,992,whatsapp,in_progress,2025-09-11,TRUE,13,2025-09-11,0,delayed
14,910,email,pending,2025-09-09,FALSE,14,2026-09-12,529920,cancelled
15,898,whatsapp,approved,2024-09-13,FALSE,15,2024-09-22,12960,delayed
16,802,email,schedule,2025-10-01,FALSE,16,2025-10-01,0,approved
17,83,phone,on_hold,2024-11-28,FALSE,17,2025-10-21,470880,under_review
18,16,email,pending,2026-09-12,TRUE,18,2026-09-12,0,delayed
19,90,whatsapp,pending,2025-10-22,FALSE,19,2025-10-22,0,on_hold
20,151,email,pending,2025-08-03,FALSE,20,2025-08-03,0,pending
21,532,whatsapp,pending,2024-12-14,TRUE,21,2024-12-14,0,schedule
22,537,phone,pending,2025-08-28,FALSE,22,2025-08-28,0,cancelled
23,587,email,cancelled,2026-08-22,TRUE,23,2026-08-22,0,rejected
24,786,whatsapp,completed,2024-09-26,FALSE,24,2024-09-26,0,in_progress
25,398,whatsapp,in_progress,2025-07-26,TRUE,25,2025-07-26,0,cancelled
26,433,phone,on_hold,2025-05-20,FALSE,26,2026-09-12,691200,approved
27,964,phone,approved,2026-04-19,FALSE,27,2026-04-19,0,cancelled
28,566,phone,in_progress,2026-09-12,TRUE,28,2026-09-12,0,rejected
29,560,whatsapp,pending,2025-04-05,TRUE,29,2025-04-05,0,in_progress
30,410,whatsapp,schedule,2025-12-08,FALSE,30,2026-03-23,151200,schedule
31,212,email,cancelled,2026-09-12,FALSE,31,2026-09-12,0,under_review
32,170,whatsapp,on_hold,2024-10-02,FALSE,32,2025-09-04,485280,on_hold
33,305,phone,schedule,2025-02-14,FALSE,33,2026-05-05,640800,schedule
34,828,email,pending,2026-06-07,FALSE,34,2026-06-07,0,cancelled
