invoice_id,client_id,matter_id,invoice_type,issued_at,due_date,amount,status
1,228,478,translation_service,2019-07-20,2019-07-20,6992.94,not_processed
2,541,118,consultation_fee,2024-03-27,2024-03-27,3556.64,not_processed
3,487,703,urgent_service,2026-04-17,2026-04-17,190562.17,not_processed
4,889,380,process_fee,2025-06-24,2025-06-24,118495.27,not_processed
5,291,158,court_filing_fee,2026-07-28,2026-07-28,81378.06,paid
6,755,950,other_service,2022-10-11,2022-10-11,46496.17,not_processed
7,673,653,document_preparation,2022-02-23,2022-02-23,202310.43,not_processed
8,185,169,translation_service,2021-03-09,2021-03-09,175300.02,unpaid
9,818,68,translation_service,2025-07-16,2026-11-21,175967.95,failed
10,993,288,urgent_service,2024-01-17,2026-10-27,212060.73,unpaid
11,39,378,consultation_fee,2020-09-29,2022-05-29,82055.53,failed
12,294,886,document_preparation,2023-09-05,2023-09-05,38739.94,unpaid
13,145,984,other_service,2024-04-24,2024-04-24,79694.97,failed
14,707,284,process_fee,2022-08-26,2023-12-09,145774.79,unpaid
15,478,145,process_fee,2019-11-19,2019-11-19,245032.57,unpaid
16,844,807,other_service,2020-07-11,2022-07-22,52324.29,failed
17,41,490,other_service,2024-01-23,2025-07-30,18257.72,failed
18,554,151,court_filing_fee,2024-03-25,2024-03-25,132674.01,not_processed
19,243,353,consultation_fee,2026-07-21,2026-07-21,55256.43,unpaid
20,306,610,document_preparation,2021-01-15,2025-03-13,206163,not_processed
21,599,835,urgent_service,2018-06-25,2026-04-07,68741.7,unpaid
22,983,890,other_service,2023-07-26,2023-07-26,249659.36,failed
23,83,385,urgent_service,2025-04-12,2025-04-12,248806.09,paid
24,313,553,process_fee,2024-01-13,2024-01-13,165136.36,paid
25,772,537,consultation_fee,2026-09-12,2026-09-12,34521.49,unpaid
26,19,931,translation_service,2022-01-16,2022-01-16,2011.52,not_processed
27,714,843,consultation_fee,2026-09-12,2026-09-12,20429.75,unpaid
28,445,26,court_filing_fee,2018-08-08,2021-02-19,184468.02,not_processed
29,240,2,document_preparation,2025-09-27,2025-09-27,20910.85,not_processed
30,154,786,consultation_fee,2023-04-08,2023-04-08,4180.95,not_processed
31,2,64,urgent_service,2023-04-10,2023-08-03,161329.03,failed
32,121,540,consultation_fee,2022-10-17,2024-03-30,70881.63,not_processed
33,985,940,translation_service,2026-05-31,2026-05-31,16447.27,not_processed
34,976,181,translation_service,2024-02-09,2026-08-05,98742.66,unpaid
35,802,586,other_service,2024-09-21,2026-04-28,164954,not_processed
36,312,580,other_service,2021-11-12,2024-03-03,93031.45,unpaid
37,524,880,process_fee,2020-06-28,2025-07-28,249860.81,failed
38,399,844,court_filing_fee,2018-11-26,2018-11-26,114163.07,not_processed
39,628,812,other_service,2022-01-06,2022-01-06,169233.14,paid
40,757,840,process_fee,2019-12-06,2020-09-13,192771.09,paid
41,19,578,process_fee,2024-10-08,2024-10-08,23556.91,unpaid
42,148,839,urgent_service,2024-03-22,2024-03-27,18601.67,failed
43,989,202,court_filing_fee,2019-10-24,2021-05-02,126920.47,unpaid
44,340,955,other_service,2025-04-23,2025-04-23,65545.75,unpaid
45,402,205,consultation_fee,2020-05-11,2022-11-07,52568.38,failed
46,153,1000,court_filing_fee,2025-04-18,2025-09-07,17515.34,paid
47,211,915,translation_service,2023-07-17,2026-12-09,62696.72,not_processed
48,554,30,court_filing_fee,2021-08-09,2024-07-05,233372.68,not_processed
