matter_id,client_id,consultation_id,matter_type,origin_channel,opened_at,current_stage,responsible_lawyer_id,total_fee_agreed,contract_signed,power_of_attorney_signed,documents_complete,closed_at,outcome
1,61,990,labor,email,2026-09-12,closed,1,1510,TRUE,TRUE,FALSE,2026-09-12,office_declined
2,240,270,family,whatsapp,2017-03-23,approved,2,1972.7,TRUE,FALSE,TRUE,,ongoing
3,846,801,family,phone,2021-05-06,rejected,3,2253.6,FALSE,FALSE,FALSE,,ongoing
4,669,358,criminal,email,2026-09-12,approved,4,637.13,TRUE,FALSE,TRUE,,ongoing
5,801,751,family,email,2023-08-17,closed,5,3265.11,TRUE,FALSE,FALSE,2023-08-17,completed
6,859,331,labor,email,2026-09-12,under_investigation,6,1002.19,TRUE,TRUE,TRUE,,accepted
7,704,898,immigration,whatsapp,2022-01-17,closed,7,3808.07,FALSE,FALSE,TRUE,2026-09-12,office_declined
8,509,919,consultation,email,2026-07-15,under_investigation,8,3557.77,FALSE,TRUE,FALSE,,ongoing
9,342,266,family,phone,2020-05-30,closed,9,219.82,FALSE,TRUE,FALSE,2020-05-30,cancelled
10,886,543,criminal,email,2022-12-27,closed,10,3033.99,FALSE,TRUE,TRUE,2026-09-12,settled
11,19,81,real_estate,phone,2024-05-28,closed,11,1943.09,TRUE,FALSE,TRUE,2026-09-12,client_withdrawal
12,377,939,contract_review,whatsapp,2024-03-30,closed,12,3535.28,TRUE,FALSE,TRUE,2024-03-30,resolved
13,6,55,criminal,email,2020-02-23,pending,13,3644.99,TRUE,TRUE,FALSE,,accepted
14,972,693,consultation,email,2018-04-20,closed,14,2375.76,TRUE,FALSE,FALSE,2026-07-20,completed
15,879,892,civil,email,2026-09-12,under_review,15,954.27,TRUE,FALSE,FALSE,,in_progress
16,502,647,real_estate,whatsapp,2026-08-28,under_review,16,3515.15,FALSE,FALSE,FALSE,,accepted
17,985,177,consultation,whatsapp,2023-05-25,pending,17,1607.05,FALSE,FALSE,TRUE,,in_progress
18,557,405,contract_review,email,2019-09-10,approved,18,1786.7,FALSE,FALSE,FALSE,,in_progress
19,182,962,criminal,email,2022-12-07,under_review,19,1644.82,TRUE,FALSE,TRUE,,ongoing
20,694,440,labor,email,2025-01-26,pending,20,326.23,FALSE,FALSE,TRUE,,accepted
21,429,585,civil,whatsapp,2022-03-07,closed,21,3623.69,FALSE,FALSE,FALSE,2024-06-28,lost_case
22,731,425,commercial,email,2024-07-30,closed,22,4871.67,FALSE,FALSE,FALSE,2025-07-17,settled
23,605,942,consultation,phone,2021-04-26,closed,23,3087.38,FALSE,FALSE,FALSE,2021-04-26,cancelled
24,415,164,commercial,email,2026-09-12,in_process,24,1626.66,TRUE,FALSE,TRUE,,in_progress
25,557,405,immigration,email,2026-09-12,closed,25,553.86,TRUE,FALSE,FALSE,2026-09-12,settled
26,445,840,real_estate,whatsapp,2015-07-16,closed,26,4798.12,TRUE,FALSE,TRUE,2020-06-10,lost_case
27,154,551,criminal,whatsapp,2026-09-12,closed,27,1317.97,FALSE,TRUE,FALSE,2026-09-12,resolved
28,154,47,criminal,phone,2026-01-31,closed,28,893.49,FALSE,FALSE,TRUE,2026-09-12,client_withdrawal
29,41,130,commercial,phone,2020-09-23,in_process,29,939.58,TRUE,FALSE,TRUE,,ongoing
30,554,217,family,email,2024-03-13,in_process,30,1014.72,FALSE,FALSE,TRUE,,ongoing
31,324,666,consultation,phone,2015-05-24,closed,31,788.54,FALSE,FALSE,FALSE,2026-09-12,resolved
32,844,987,family,phone,2026-09-12,closed,32,4866.04,FALSE,TRUE,FALSE,2026-09-12,completed
33,971,674,labor,phone,2017-10-12,closed,33,2967.87,FALSE,FALSE,FALSE,2026-09-12,resolved
34,387,890,consultation,email,2026-09-12,in_process,34,4463.52,TRUE,FALSE,FALSE,,ongoing
35,61,505,commercial,email,2022-09-03,closed,35,4973.82,FALSE,TRUE,FALSE,2022-09-03,cancelled
36,899,983,administrative,phone,2021-05-19,approved,36,1054.64,TRUE,FALSE,FALSE,,in_progress
37,471,532,family,phone,2023-11-08,closed,37,3190.92,TRUE,FALSE,TRUE,2023-11-08,resolved
38,846,409,immigration,email,2026-09-12,closed,38,2192.07,FALSE,TRUE,TRUE,2026-09-12,settled
39,798,774,consultation,email,2018-07-16,closed,39,2783.45,TRUE,FALSE,FALSE,2026-09-12,cancelled
40,306,609,administrative,email,2019-07-15,closed,40,2025.19,TRUE,FALSE,FALSE,2021-10-30,office_declined
41,384,173,real_estate,email,2025-11-27,closed,41,698.06,TRUE,FALSE,FALSE,2026-07-26,cancelled
42,471,728,real_estate,whatsapp,2017-09-22,rejected,42,3264.63,FALSE,FALSE,TRUE,,in_progress
43,4,870,immigration,whatsapp,2020-11-21,closed,43,4989.83,FALSE,FALSE,FALSE,2026-09-12,lost_case
44,128,671,real_estate,phone,2020-08-29,closed,44,4431.11,TRUE,TRUE,TRUE,2020-08-29,settled
45,492,984,commercial,phone,2023-09-24,closed,45,223.5,FALSE,TRUE,TRUE,2023-10-17,lost_case
46,758,950,administrative,whatsapp,2026-09-12,under_review,46,3894.16,TRUE,FALSE,FALSE,,ongoing
47,537,630,labor,email,2024-11-05,closed,47,4212.3,TRUE,FALSE,FALSE,2024-11-05,settled
48,129,288,administrative,whatsapp,2017-10-31,pending,48,477.37,FALSE,FALSE,FALSE,,in_progress
49,875,204,immigration,phone,2022-03-23,in_process,49,3245.73,FALSE,TRUE,TRUE,,in_progress
50,210,114,administrative,phone,2026-09-12,closed,50,2259.82,TRUE,TRUE,TRUE,2026-09-12,cancelled
51,773,555,commercial,whatsapp,2026-09-12,closed,51,4429.25,FALSE,FALSE,FALSE,2026-09-12,cancelled
52,749,969,labor,email,2026-09-12,closed,52,337.85,TRUE,TRUE,TRUE,2026-09-12,client_withdrawal
53,616,165,criminal,email,2015-07-25,closed,53,3446.29,TRUE,FALSE,FALSE,2018-12-09,settled
54,11,560,criminal,whatsapp,2025-09-17,closed,54,2269.73,TRUE,TRUE,TRUE,2025-09-17,settled
55,4,870,real_estate,phone,2018-07-10,closed,55,3613.69,TRUE,TRUE,FALSE,2018-07-10,client_withdrawal
56,145,719,labor,whatsapp,2020-04-23,closed,56,2514.82,FALSE,TRUE,FALSE,2020-04-23,resolved
57,61,904,consultation,email,2022-01-10,closed,57,1904.89,FALSE,FALSE,FALSE,2022-01-10,cancelled
58,587,32,family,whatsapp,2026-09-12,pending,58,2167.45,FALSE,TRUE,FALSE,,accepted
59,92,315,immigration,email,2015-12-10,closed,59,2925.61,FALSE,TRUE,FALSE,2024-02-13,cancelled
60,776,72,commercial,phone,2026-09-12,closed,60,2710.48,TRUE,FALSE,FALSE,2026-09-12,resolved
61,746,310,commercial,phone,2026-09-12,closed,61,3915.02,FALSE,FALSE,FALSE,2026-09-12,office_declined
62,26,371,commercial,whatsapp,2026-06-07,closed,62,1356.85,FALSE,TRUE,FALSE,2026-06-07,settled
