document_id,matter_id,document_type,received_at,received_via,is_required,is_missing
273-54-2067,798,contract,11/22/27,email456,TRUE,TRUE
116-81-6576,307,correspondence,6/27/24,emailDEF,TRUE,TRUE
895-81-3837,502,power_of_attorney,12/28/21,whatsapp789,TRUE,TRUE
376-85-0704,150,court_filing,4/23/27,phone456,TRUE,TRUE
151-24-3719,111,evidence,10/25/26,email456,TRUE,TRUE
652-59-7797,579,invoice,2/29/28,whatsapp123,FALSE,FALSE
560-41-8011,977,court_filing,1/3/23,phone456,TRUE,FALSE
515-45-4094,895,correspondence,5/1/26,email123,FALSE,FALSE
202-01-5652,618,invoice,3/27/20,whatsappABC,TRUE,TRUE
744-34-1428,950,correspondence,12/7/24,whatsapp789,FALSE,FALSE
398-53-0196,136,invoice,4/9/26,whatsappABC,TRUE,TRUE
410-86-0703,811,passport_copy,9/4/25,phone789,TRUE,TRUE
272-58-3140,452,invoice,3/5/24,email456,FALSE,TRUE
247-52-1911,977,passport_copy,6/26/24,phone456,TRUE,TRUE
461-19-1359,378,evidence,6/10/26,whatsapp789,TRUE,FALSE
248-49-1032,321,evidence,7/25/25,emailDEF,FALSE,TRUE
846-43-4980,201,correspondence,3/10/26,whatsappABC,TRUE,TRUE
416-22-7418,550,correspondence,3/28/25,email456,FALSE,TRUE
648-45-7025,731,evidence,6/13/20,phone456,TRUE,TRUE
731-32-5181,425,power_of_attorney,4/20/29,emailDEF,FALSE,FALSE
144-81-7722,681,passport_copy,6/27/20,phone789,TRUE,FALSE
787-83-0579,272,evidence,1/21/23,phone456,TRUE,FALSE
465-32-4446,108,invoice,12/16/26,whatsappABC,FALSE,FALSE
871-13-3423,217,power_of_attorney,6/23/22,phone789,FALSE,TRUE
776-75-8988,427,correspondence,6/20/27,phoneGHI,FALSE,FALSE
866-12-1580,184,passport_copy,5/4/25,whatsapp789,TRUE,TRUE
437-97-8182,915,invoice,5/8/26,whatsappABC,FALSE,FALSE
312-18-9206,453,correspondence,6/8/24,whatsappXYZ,FALSE,FALSE
605-34-0901,897,evidence,2/18/20,phone456,TRUE,TRUE
377-69-9311,507,passport_copy,4/18/26,emailDEF,TRUE,TRUE
876-56-9339,396,invoice,8/22/23,phoneGHI,TRUE,FALSE
890-18-5113,694,court_filing,8/26/28,whatsappXYZ,FALSE,FALSE
725-92-7374,987,evidence,11/7/29,whatsapp789,TRUE,TRUE
747-44-4496,501,invoice,10/8/24,whatsappXYZ,TRUE,TRUE
571-79-2579,480,passport_copy,1/21/22,whatsapp789,FALSE,FALSE
476-36-7469,302,correspondence,5/22/25,phoneGHI,FALSE,TRUE
608-05-4808,378,contract,7/4/26,whatsapp789,FALSE,FALSE
427-54-1776,388,contract,1/22/23,emailDEF,FALSE,FALSE
146-57-5825,112,court_filing,11/12/21,phoneGHI,TRUE,FALSE
860-28-2576,489,passport_copy,8/3/23,whatsappABC,FALSE,FALSE
751-24-8821,702,power_of_attorney,5/13/27,phone789,TRUE,FALSE
620-58-9653,985,court_filing,3/31/23,whatsapp789,FALSE,TRUE
819-64-0277,147,contract,11/5/27,phone456,TRUE,TRUE
465-32-4446,634,invoice,6/23/21,emailDEF,TRUE,FALSE
799-02-2405,681,power_of_attorney,2/25/29,phone789,FALSE,FALSE
304-53-5467,761,invoice,1/8/24,whatsappABC,FALSE,TRUE
247-18-2218,862,court_filing,9/13/26,whatsapp789,FALSE,FALSE
498-13-9477,453,passport_copy,3/26/20,whatsappXYZ,TRUE,TRUE
806-68-4278,764,power_of_attorney,1/27/26,whatsapp789,FALSE,TRUE
699-96-1393,305,passport_copy,3/24/22,emailDEF,TRUE,FALSE
602-30-0472,384,evidence,7/7/24,phone456,FALSE,TRUE
314-45-3113,800,passport_copy,7/7/27,phone789,FALSE,TRUE
223-59-3039,685,contract,7/30/21,phone456,FALSE,TRUE
358-82-8989,575,court_filing,5/18/27,phoneGHI,FALSE,FALSE
714-96-1996,472,court_filing,1/26/23,email123,TRUE,FALSE
263-90-0559,636,invoice,3/30/20,whatsapp789,FALSE,FALSE
122-24-8710,834,correspondence,7/31/29,email123,FALSE,TRUE
264-96-9525,270,passport_copy,2/23/28,phone456,FALSE,FALSE
612-35-0746,447,court_filing,3/5/23,emailDEF,FALSE,FALSE
289-38-7887,157,contract,6/5/22,emailDEF,TRUE,TRUE
248-49-1032,978,evidence,3/13/26,phoneGHI,FALSE,FALSE
880-90-6390,142,correspondence,8/21/24,phone456,TRUE,FALSE
524-47-9184,880,invoice,9/21/23,whatsappABC,FALSE,TRUE
109-84-0934,688,correspondence,4/27/29,whatsapp789,TRUE,TRUE
589-05-3493,74,court_filing,6/27/24,phone456,TRUE,TRUE
134-79-4600,396,invoice,3/25/26,phoneGHI,TRUE,TRUE
691-25-6938,242,contract,3/4/28,whatsappXYZ,FALSE,TRUE
622-42-2088,793,invoice,3/9/27,emailDEF,TRUE,TRUE
128-94-7136,797,evidence,5/6/29,whatsapp123,FALSE,TRUE
347-14-6144,232,invoice,8/9/29,email123,FALSE,TRUE
502-21-2549,354,evidence,10/26/20,email123,TRUE,FALSE
209-41-1705,399,evidence,6/11/26,phoneGHI,FALSE,FALSE
570-14-9890,67,correspondence,7/4/23,whatsappABC,FALSE,TRUE
659-65-4864,183,court_filing,1/31/29,phoneGHI,TRUE,FALSE
402-07-9400,483,correspondence,10/5/23,phone456,TRUE,FALSE
686-52-6025,604,correspondence,5/10/20,whatsapp123,TRUE,TRUE
208-62-9097,520,invoice,1/29/20,emailDEF,TRUE,FALSE
884-25-7279,406,power_of_attorney,10/18/27,phone456,TRUE,FALSE
132-77-5150,592,court_filing,9/11/26,whatsappXYZ,TRUE,FALSE
289-38-7887,300,passport_copy,2/23/25,whatsapp789,TRUE,FALSE
833-47-4203,928,invoice,12/6/22,email123,TRUE,TRUE
758-51-4085,863,contract,7/17/21,whatsapp123,FALSE,TRUE
719-50-1812,788,invoice,12/8/27,emailDEF,TRUE,TRUE
671-40-5871,114,court_filing,4/27/26,email456,FALSE,FALSE
171-37-3076,632,passport_copy,9/30/27,phone789,TRUE,TRUE
267-69-2971,50,invoice,8/11/22,phone789,TRUE,FALSE
693-61-1439,924,evidence,11/14/21,phone456,FALSE,FALSE
448-55-0465,408,contract,7/31/21,whatsapp123,TRUE,TRUE
716-97-9540,206,invoice,4/1/25,email123,FALSE,TRUE
166-27-9511,797,power_of_attorney,5/10/24,whatsapp123,FALSE,TRUE
340-50-6596,213,invoice,1/11/24,email456,FALSE,TRUE
464-03-6000,312,contract,1/24/25,phone789,TRUE,FALSE
641-07-9177,849,court_filing,3/26/28,email456,FALSE,FALSE
809-10-7442,952,correspondence,12/28/25,whatsapp789,FALSE,FALSE
140-05-5918,482,court_filing,12/21/28,emailDEF,TRUE,TRUE
486-73-0128,611,correspondence,11/16/21,whatsappABC,FALSE,FALSE
768-32-4356,626,contract,4/15/25,whatsappABC,FALSE,FALSE
222-37-5308,848,correspondence,8/16/27,whatsappXYZ,TRUE,TRUE
819-30-9179,389,correspondence,4/23/27,whatsapp123,TRUE,TRUE
468-93-1807,73,correspondence,5/28/23,whatsapp789,TRUE,FALSE
829-34-4443,880,contract,5/10/21,whatsappABC,TRUE,FALSE
395-13-7055,355,invoice,12/3/27,emailDEF,FALSE,TRUE
109-28-9934,885,correspondence,4/21/20,phone456,TRUE,FALSE
441-52-8841,334,contract,7/20/28,whatsapp789,FALSE,FALSE
781-01-1656,835,contract,5/10/25,emailDEF,TRUE,FALSE
133-51-2132,842,court_filing,7/28/22,whatsapp789,TRUE,TRUE
344-15-2717,385,invoice,3/22/26,emailDEF,TRUE,TRUE
533-48-9413,674,passport_copy,6/7/23,emailDEF,TRUE,FALSE
759-64-9769,826,passport_copy,9/29/22,phone789,TRUE,FALSE
525-16-7771,441,invoice,11/12/27,whatsappABC,TRUE,FALSE
576-58-8541,966,evidence,2/1/28,whatsapp789,FALSE,TRUE
606-07-7444,555,power_of_attorney,1/2/21,whatsapp789,TRUE,FALSE
114-54-7562,444,evidence,12/12/27,whatsapp123,FALSE,TRUE
866-08-2679,847,passport_copy,1/12/25,email123,FALSE,FALSE
577-79-8555,303,correspondence,7/16/29,emailDEF,FALSE,FALSE
410-86-0703,592,power_of_attorney,11/25/20,whatsappXYZ,FALSE,TRUE
180-61-2777,592,power_of_attorney,5/9/23,whatsappXYZ,FALSE,FALSE
586-16-0581,656,court_filing,9/15/21,email456,FALSE,TRUE
659-65-4864,947,invoice,9/5/25,whatsappXYZ,TRUE,FALSE
119-99-1828,839,contract,5/29/21,email123,TRUE,TRUE
704-80-5747,47,passport_copy,6/18/24,emailDEF,FALSE,TRUE
814-01-7783,874,court_filing,7/27/29,whatsappXYZ,FALSE,TRUE
318-37-2947,231,passport_copy,7/9/26,phone789,TRUE,TRUE
600-71-5384,589,invoice,12/15/23,emailDEF,FALSE,TRUE
829-18-7355,417,correspondence,8/3/24,whatsappXYZ,FALSE,FALSE
139-26-3961,161,evidence,9/25/27,phoneGHI,TRUE,FALSE
854-38-6343,897,invoice,7/11/29,phone456,TRUE,TRUE
210-57-8590,311,correspondence,3/9/26,emailDEF,TRUE,TRUE
798-14-9647,541,power_of_attorney,8/29/23,phoneGHI,FALSE,FALSE
855-68-5642,441,invoice,12/26/24,whatsappABC,FALSE,TRUE
