matter_id,client_id,consultation_id,matter_type,origin_channel,oppened_at,current_stage,responsible_lawyer_id,total_fee_agreed ,contract_signed,power_of_attorney_signed ,documents_complete,closed_at,outcome
1,598,990,labor,email,10/25/28,awaiting response,1,1510,TRUE,TRUE,TRUE,2/22/24,office_declined
2,682,270,family,whatsapp,3/23/17,approved,2,1972.7,TRUE,FALSE,TRUE,5/29/27,ongoing
3,620,801,family,phone,5/6/21,rejected,3,2253.6,FALSE,FALSE,FALSE,11/7/17,ongoing
4,552,358,criminal,email,3/13/28,approved,4,637.13,TRUE,FALSE,TRUE,6/17/15,ongoing
5,55,751,family,email,8/17/23,under review,5,3265.11,TRUE,FALSE,FALSE,2/24/18,completed
6,90,331,labor,email,7/1/30,under investigation,6,1002.19,TRUE,TRUE,TRUE,4/16/29,accepted
7,539,898,immigration,whatsapp,1/17/22,awaiting response,7,3808.07,FALSE,FALSE,TRUE,7/23/27,office_declined
8,272,919,consultation only service,email,7/15/26,under investigation,8,3557.77,FALSE,TRUE,FALSE,10/30/22,ongoing
9,398,266,family,phone,5/30/20,in process,9,219.82,FALSE,TRUE,TRUE,5/17/18,cancelled
10,301,543,criminal,email,12/27/22,pending,10,3033.99,FALSE,TRUE,TRUE,3/30/27,settled
11,159,81,real estate,phone,5/28/24,finalized,11,1943.09,TRUE,FALSE,TRUE,2/21/28,client_withdrew
12,47,939,contract review,whatsapp,3/30/24,delayed,12,3535.28,TRUE,FALSE,TRUE,9/15/21,resolved
13,781,55,criminal,email,2/23/20,pending,13,3644.99,TRUE,TRUE,FALSE,1/21/18,accepted
14,97,693,consultation only service,email,4/20/18,under investigation,14,2375.76,TRUE,FALSE,FALSE,7/20/26,completed
15,936,892,civil,email,3/6/30,pending review,15,954.27,TRUE,FALSE,FALSE,7/25/26,in_progress
16,761,647,real estate,whatsapp,8/28/26,reviewing,16,3515.15,FALSE,FALSE,FALSE,5/9/15,accepted
17,972,177,consultation only service,whatsapp,5/25/23,pending,17,1607.05,FALSE,FALSE,TRUE,7/11/15,in_progress
18,631,405,contract review,email,9/10/19,approved,18,1786.7,FALSE,FALSE,FALSE,1/10/18,in_progress
19,743,962,criminal,email,12/7/22,reviewing,19,1644.82,TRUE,FALSE,TRUE,2/11/20,ongoing
20,241,440,labor,email,1/26/25,pending,20,326.23,FALSE,FALSE,TRUE,9/22/17,accepted
21,516,585,civil,whatsapp,3/7/22,in progress,21,3623.69,FALSE,FALSE,FALSE,6/28/24,lost_case
22,279,425,commercial,email,7/30/24,finalized,22,4871.67,FALSE,FALSE,FALSE,7/17/25,settled
23,208,942,consultation only service,phone,4/26/21,approved,23,3087.38,FALSE,FALSE,FALSE,3/19/16,cancelled
24,819,164,commercial,email,4/7/28,in process,24,1626.66,TRUE,FALSE,TRUE,11/12/18,in_progress
25,783,405,immigration,email,7/27/28,under investigation,25,553.86,TRUE,FALSE,FALSE,2/12/28,settled
26,780,840,real estate,whatsapp,7/16/15,in progress,26,4798.12,TRUE,FALSE,TRUE,6/10/20,lost_case
27,847,551,criminal,whatsapp,4/15/27,pending,27,1317.97,FALSE,TRUE,FALSE,8/26/24,resolved
28,978,47,criminal,phone,1/31/26,in progress,28,893.49,FALSE,FALSE,TRUE,4/1/29,client_withdrew
29,801,130,commercial,phone,9/23/20,in progress,29,939.58,TRUE,FALSE,TRUE,8/6/20,ongoing
30,952,217,family,email,3/13/24,in process,30,1014.72,FALSE,FALSE,TRUE,8/27/27,ongoing
31,112,666,consultation only service,phone,5/24/15,awaiting response,31,788.54,FALSE,FALSE,FALSE,4/17/27,resolved
32,178,987,family,phone,3/9/27,under review,32,4866.04,FALSE,TRUE,TRUE,3/7/17,completed
33,773,674,labor,phone,10/12/17,in process,33,2967.87,FALSE,FALSE,FALSE,7/25/28,resolved
34,997,890,consultation only service,email,1/14/30,in process,34,4463.52,TRUE,FALSE,FALSE,4/16/16,ongoing
35,123,505,commercial,email,9/3/22,reviewing,35,4973.82,FALSE,TRUE,TRUE,12/14/17,cancelled
36,567,983,administrative,phone,5/19/21,approved,36,1054.64,TRUE,FALSE,FALSE,8/15/27,in_progress
37,339,532,family,phone,11/8/23,awaiting response,37,3190.92,TRUE,FALSE,TRUE,2/12/23,resolved
38,419,409,immigration,email,7/16/28,finalized,38,2192.07,FALSE,TRUE,TRUE,12/30/19,settled
39,138,774,consultation only service,email,7/16/18,delayed,39,2783.45,TRUE,FALSE,FALSE,2/21/30,cancelled
40,998,609,administrative,email,7/15/19,finalized,40,2025.19,TRUE,FALSE,TRUE,10/30/21,office_declined
41,545,173,real estate,email,11/27/25,pending,41,698.06,TRUE,FALSE,FALSE,7/26/26,cancelled
42,154,728,real estate,whatsapp,9/22/17,rejected,42,3264.63,FALSE,FALSE,TRUE,1/31/22,in_progress
43,475,870,immigration,whatsapp,11/21/20,on hold,43,4989.83,FALSE,FALSE,FALSE,10/30/30,lost_case
44,864,671,real estate,phone,8/29/20,awaiting response,44,4431.11,TRUE,TRUE,TRUE,12/10/17,settled
45,585,984,commercial,phone,9/24/23,in process,45,223.5,FALSE,TRUE,TRUE,10/17/23,lost_case
46,474,950,administrative,whatsapp,7/3/27,under review,46,3894.16,TRUE,FALSE,FALSE,11/27/24,ongoing
47,416,630,labor,email,11/5/24,delayed,47,4212.3,TRUE,FALSE,FALSE,6/11/20,settled
48,892,288,administrative,whatsapp,10/31/17,on hold,48,477.37,FALSE,FALSE,FALSE,5/22/26,in_progress
49,757,204,immigration,phone,3/23/22,completed,49,3245.73,FALSE,TRUE,TRUE,5/18/18,in_progress
50,631,114,administrative,phone,7/30/28,awaiting response,50,2259.82,TRUE,TRUE,TRUE,7/2/16,cancelled
51,559,555,commercial,whatsapp,11/18/30,under investigation,51,4429.25,FALSE,FALSE,FALSE,3/18/19,cancelled
52,697,969,labor,email,2/29/28,reviewing,52,337.85,TRUE,TRUE,TRUE,11/25/24,client_withdrew
53,659,165,criminal,email,7/25/15,pending review,53,3446.29,TRUE,FALSE,FALSE,12/9/18,settled
54,648,560,criminal,whatsapp,9/17/25,pending approval,54,2269.73,TRUE,TRUE,TRUE,4/28/17,settled
55,577,870,real estate,phone,7/10/18,rejected,55,3613.69,TRUE,TRUE,FALSE,4/16/16,client_withdrew
56,292,719,labor,whatsapp,4/23/20,pending,56,2514.82,FALSE,TRUE,TRUE,1/4/18,resolved
57,821,904,consultation only service,email,1/10/22,under review,57,1904.89,FALSE,FALSE,FALSE,11/23/18,cancelled
58,921,32,family,whatsapp,9/3/29,pending approval,58,2167.45,FALSE,TRUE,TRUE,4/22/24,accepted
59,549,315,immigration,email,12/10/15,pending review,59,2925.61,FALSE,TRUE,FALSE,2/13/24,cancelled
60,845,72,commercial,phone,12/21/30,completed,60,2710.48,TRUE,FALSE,FALSE,12/3/29,resolved
61,822,310,commercial,phone,9/8/28,approved,61,3915.02,FALSE,FALSE,TRUE,4/17/18,office_declined
62,734,371,commercial,whatsapp,6/7/26,pending approval,62,1356.85,FALSE,TRUE,FALSE,5/15/17,settled
63,673,722,labor,email,9/30/18,rejected,63,1058.21,FALSE,TRUE,TRUE,10/5/22,ongoing
64,804,329,immigration,whatsapp,10/12/25,completed,64,2948.35,TRUE,FALSE,FALSE,1/12/15,completed
65,578,49,family,email,11/22/16,finalized,65,2909.44,TRUE,TRUE,TRUE,11/11/25,completed
66,307,442,consultation only service,phone,3/31/28,awaiting response,66,2110.67,TRUE,FALSE,FALSE,5/27/29,completed
67,664,441,contract review,whatsapp,11/23/24,approved,67,1688.66,FALSE,TRUE,FALSE,3/5/29,settled
68,554,540,administrative,phone,1/25/29,pending,68,2559.9,TRUE,FALSE,TRUE,6/21/21,ongoing
69,50,360,administrative,whatsapp,7/23/25,rejected,69,3727.2,TRUE,TRUE,FALSE,1/20/19,ongoing
70,275,999,commercial,email,11/19/29,delayed,70,1131.69,FALSE,FALSE,FALSE,11/27/30,settled
71,532,488,administrative,whatsapp,11/19/17,on hold,71,1674.13,FALSE,TRUE,FALSE,7/24/18,ongoing
72,595,796,criminal,email,1/22/19,pending approval,72,1511.35,FALSE,TRUE,FALSE,5/14/28,in_progress
73,264,961,contract review,whatsapp,1/27/19,reviewing,73,3903.37,TRUE,TRUE,TRUE,2/2/17,settled
74,753,372,family,phone,6/2/21,pending approval,74,3222.08,FALSE,FALSE,FALSE,2/12/28,settled
75,216,639,administrative,email,8/8/17,under investigation,75,3236.09,TRUE,TRUE,FALSE,5/23/19,settled
76,3,738,administrative,whatsapp,8/27/21,in process,76,1795.75,FALSE,FALSE,FALSE,4/1/16,in_progress
77,977,986,labor,email,7/24/19,on hold,77,1262.9,FALSE,FALSE,FALSE,9/6/28,in_progress
78,511,962,civil,phone,7/11/16,in progress,78,4935.67,FALSE,FALSE,TRUE,7/22/30,lost_case
79,316,692,contract review,whatsapp,3/20/16,finalized,79,1694.11,FALSE,TRUE,FALSE,2/5/18,accepted
80,282,913,commercial,whatsapp,4/29/17,under investigation,80,1835.95,TRUE,FALSE,TRUE,1/30/15,ongoing
81,341,18,contract review,phone,7/21/27,approved,81,2606.07,TRUE,FALSE,FALSE,8/12/18,cancelled
