invoice_id,client_id,matter_id,invoice_status_before,invoice_amount,payment_count,total_received,invoice_excess_total,payment_sequence,payment_id,payment_date,payment_method,payment_reference,original_payment_amount,invoice_allocation_amount,client_credit_amount,reason_code,recommended_action,resolution_status,review_notes
938,142,424,failed,3831.80,5,180367.39,176535.59,1,114,2018-07-23,cash,26-245-8034,36767.70,3831.80,32935.90,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
938,142,424,failed,3831.80,5,180367.39,176535.59,2,536,2020-06-15,card,81-934-5349,32235.22,0.00,32235.22,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
938,142,424,failed,3831.80,5,180367.39,176535.59,3,227,2025-08-12,paypal,92-325-0378,45684.94,0.00,45684.94,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
938,142,424,failed,3831.80,5,180367.39,176535.59,4,156,2026-04-15,venmo,61-691-3495,28452.20,0.00,28452.20,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
938,142,424,failed,3831.80,5,180367.39,176535.59,5,549,2026-09-12,bank_transfer,33-534-1191,37227.33,0.00,37227.33,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
60,6,337,unpaid,2966.27,4,116433.44,113467.17,1,113,2024-10-07,bitcoin,60-766-1914,22907.63,2966.27,19941.36,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
60,6,337,unpaid,2966.27,4,116433.44,113467.17,2,416,2024-10-07,apple_pay,58-145-0294,3773.80,0.00,3773.80,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
60,6,337,unpaid,2966.27,4,116433.44,113467.17,3,877,2024-10-12,venmo,65-740-8118,47279.68,0.00,47279.68,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
60,6,337,unpaid,2966.27,4,116433.44,113467.17,4,693,2026-09-12,bank_transfer,25-558-7919,42472.33,0.00,42472.33,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
165,639,660,failed,16430.02,3,115206.27,98776.25,1,826,2019-05-13,bitcoin,00-660-9213,48434.53,16430.02,32004.51,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
165,639,660,failed,16430.02,3,115206.27,98776.25,2,953,2023-12-24,cash,29-656-4682,27966.73,0.00,27966.73,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
165,639,660,failed,16430.02,3,115206.27,98776.25,3,938,2026-09-12,bank_transfer,45-383-0733,38805.01,0.00,38805.01,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
138,251,102,unpaid,3682.69,3,96614.67,92931.98,1,30,2021-09-06,apple_pay,49-604-8198,13604.40,3682.69,9921.71,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
138,251,102,unpaid,3682.69,3,96614.67,92931.98,2,334,2021-09-06,cash,14-552-4326,43662.21,0.00,43662.21,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
138,251,102,unpaid,3682.69,3,96614.67,92931.98,3,624,2021-09-06,venmo,80-614-0640,39348.06,0.00,39348.06,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
386,169,433,failed,28492.10,3,119794.58,91302.48,1,93,2026-09-12,cash,95-859-0681,25937.26,25937.26,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
386,169,433,failed,28492.10,3,119794.58,91302.48,2,509,2026-09-12,apple_pay,97-448-2951,45087.06,2554.84,42532.22,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
386,169,433,failed,28492.10,3,119794.58,91302.48,3,731,2026-09-12,venmo,17-637-1087,48770.26,0.00,48770.26,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
891,667,707,failed,7179.17,2,89017.53,81838.36,1,791,2021-01-21,online_payment,75-950-2053,45699.51,7179.17,38520.34,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
891,667,707,failed,7179.17,2,89017.53,81838.36,2,596,2025-05-30,paypal,51-393-2859,43318.02,0.00,43318.02,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
118,85,233,unpaid,19832.94,3,100750.73,80917.79,1,830,2020-11-07,bitcoin,87-455-9690,49297.80,19832.94,29464.86,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
118,85,233,unpaid,19832.94,3,100750.73,80917.79,2,862,2024-01-24,bitcoin,16-996-4899,11886.10,0.00,11886.10,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
118,85,233,unpaid,19832.94,3,100750.73,80917.79,3,311,2025-12-03,google_wallet,58-291-3459,39566.83,0.00,39566.83,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
858,539,732,unpaid,12620.17,2,87954.71,75334.54,1,138,2025-09-09,bank_transfer,72-946-9483,40380.55,12620.17,27760.38,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
858,539,732,unpaid,12620.17,2,87954.71,75334.54,2,282,2026-09-12,google_wallet,01-370-2308,47574.16,0.00,47574.16,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
378,557,423,failed,2959.65,2,76540.45,73580.80,1,767,2019-12-21,venmo,68-420-1961,34370.73,2959.65,31411.08,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
378,557,423,failed,2959.65,2,76540.45,73580.80,2,653,2021-11-15,card,78-269-6499,42169.72,0.00,42169.72,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
155,783,801,paid,17127.90,2,81348.04,64220.14,1,7,2026-09-12,venmo,87-070-7297,43309.29,17127.90,26181.39,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
155,783,801,paid,17127.90,2,81348.04,64220.14,2,662,2026-09-12,bitcoin,78-070-8275,38038.75,0.00,38038.75,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
159,638,382,not_processed,18882.35,3,81023.09,62140.74,1,415,2026-07-27,bank_transfer,42-772-2622,28643.99,18882.35,9761.64,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
159,638,382,not_processed,18882.35,3,81023.09,62140.74,2,445,2026-07-27,online_payment,79-228-5565,29093.63,0.00,29093.63,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
159,638,382,not_processed,18882.35,3,81023.09,62140.74,3,607,2026-07-27,apple_pay,52-410-1638,23285.47,0.00,23285.47,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
75,376,938,not_processed,11326.56,2,72904.71,61578.15,1,125,2018-05-17,bitcoin,56-891-8029,34872.46,11326.56,23545.90,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
75,376,938,not_processed,11326.56,2,72904.71,61578.15,2,220,2021-03-13,cash,31-490-8817,38032.25,0.00,38032.25,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
361,135,713,paid,36473.59,2,94517.37,58043.78,1,584,2025-07-24,apple_pay,22-528-1377,45124.76,36473.59,8651.17,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
361,135,713,paid,36473.59,2,94517.37,58043.78,2,711,2026-09-12,venmo,30-180-7191,49392.61,0.00,49392.61,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
